Timestamp,Open,High,Low,Close,Volume
1481908560.0,779.33,780.0,779.33,779.99,0.34262867
1331514360.0,5.0,5.0,5.0,5.0,0.0
1364728380.0,94.87,94.87,94.87,94.87,0.0
1620719100.0,55163.47,55257.94,55163.47,55209.13,4.27534344
1432275960.0,235.43,235.43,235.43,235.43,4.90537315
1415391480.0,344.93,344.94,344.5,344.5,1.11315193
1720050360.0,59943.0,59943.0,59854.0,59854.0,0.24802823
1596000600.0,10905.99,10914.57,10905.99,10906.68,10.78196894
1474996440.0,602.04,602.04,602.04,602.04,0.0
1552950600.0,3960.93,3960.93,3960.09,3960.09,2.21595144
1410501060.0,475.04,475.04,475.04,475.04,0.0
1496900640.0,2697.17,2698.63,2697.17,2698.63,17.23957291
1564209660.0,10133.55,10141.61,10121.86,10141.61,0.38004314
1668953760.0,16610.0,16610.0,16607.0,16607.0,0.18613
1343164800.0,8.5,8.5,8.5,8.5,0.0
1433436000.0,224.77,224.77,224.77,224.77,0.0
1339132260.0,5.46,5.46,5.46,5.46,0.0
1591425780.0,9583.4,9583.4,9583.4,9583.4,0.0
1521123360.0,8231.0,8236.08,8212.92,8228.36,21.49653087
1623820680.0,39766.46,39795.91,39766.46,39795.91,0.25334735
1496378400.0,2394.84,2394.96,2393.0,2394.96,1.7832998
1388435640.0,732.92,734.53,729.11,729.11,12.99609246
1460341860.0,420.68,420.68,420.62,420.68,0.54169981
1682346840.0,27343.0,27343.0,27343.0,27343.0,0.02
1364343360.0,78.0,78.0,78.0,78.0,0.0
1514161740.0,12978.9,13000.14,12952.0,13000.14,9.64962304
1468769640.0,664.87,664.87,664.87,664.87,0.0
1400002680.0,436.86,438.0,436.86,438.0,0.10066
1695788340.0,26221.0,26224.0,26220.0,26224.0,0.03886
1329167040.0,5.75,5.75,5.75,5.75,0.0
1651141140.0,39394.98,39394.98,39387.48,39387.48,0.00268
1566005520.0,10414.96,10425.64,10411.8,10425.53,1.30970043
1537154280.0,6497.99,6497.99,6497.99,6497.99,0.1460527
1371422460.0,100.16,100.16,100.16,100.16,0.33296725
1468641600.0,664.6,664.6,664.6,664.6,0.0497405
1689139140.0,30531.0,30540.0,30531.0,30538.0,0.07539603
1460153700.0,422.17,422.53,422.17,422.53,1.55382123
1515072660.0,14413.08,14472.51,14401.72,14471.3,16.89136518
1377606360.0,118.76,118.76,118.76,118.76,4.53999569
1363463940.0,46.85,46.85,46.85,46.85,0.0
1584152040.0,5618.66,5645.57,5617.91,5645.29,10.67569822
1401031860.0,567.24,567.24,566.6,566.6,0.0756824
1423822860.0,224.15,224.21,224.14,224.21,10.01841664
1388980740.0,909.9,910.0,908.5,908.5,2.6061509
1364403660.0,87.69,87.69,87.69,87.69,31.39606832
1508952720.0,5519.99,5520.0,5514.49,5520.0,9.44813455
1434322380.0,232.01,232.1,232.0,232.1,5.14739426
1456507320.0,424.9,424.9,424.9,424.9,2.40630737
1555689960.0,5254.53,5254.85,5254.53,5254.85,3.58970351
1402530960.0,636.3,636.3,636.3,636.3,0.01899999
1534715400.0,6345.24,6351.02,6343.39,6343.84,5.22849388
1650717060.0,39626.17,39643.23,39626.17,39635.39,0.03288992
1600929660.0,10298.15,10298.15,10290.71,10290.71,0.68312073
1699712280.0,37023.0,37023.0,37023.0,37023.0,0.0013
1680527700.0,28326.0,28369.0,28326.0,28358.0,6.28173814
1331537400.0,5.0,5.0,5.0,5.0,0.0
1550464620.0,3625.61,3630.5,3625.61,3630.5,0.88265157
1621948020.0,38219.59,38239.61,38212.12,38213.46,0.12737673
1697822520.0,29555.0,29555.0,29536.0,29536.0,0.12008815
1325836500.0,6.65,6.65,6.65,6.65,0.0
1702973760.0,43090.0,43090.0,43090.0,43090.0,0.0
1648528980.0,47364.01,47399.14,47364.01,47399.14,0.09197847
1487599200.0,1060.0,1060.0,1060.0,1060.0,0.0
1589178420.0,8757.56,8757.57,8752.63,8752.63,3.33510682
1566161160.0,10447.99,10448.57,10447.99,10448.57,0.9321
1361891400.0,30.86,30.89,30.86,30.89,28.91097614
1542189660.0,6270.0,6270.64,6268.21,6268.21,1.11950459
1397315040.0,428.32,428.32,428.32,428.32,0.16854186
1543246380.0,3913.06,3913.06,3912.54,3912.54,0.33787798
1458055080.0,416.32,416.32,416.32,416.32,0.12773
1456061580.0,446.85,447.75,446.78,446.82,103.30673693
1709310480.0,61953.0,61972.0,61950.0,61951.0,0.1031602
1555761540.0,5331.49,5331.49,5329.73,5329.73,0.23030357
1634574420.0,60838.48,60838.48,60793.83,60793.83,3.17928132
1679879760.0,27852.0,27852.0,27849.0,27849.0,0.05884639
1593562500.0,9154.82,9154.82,9145.67,9149.98,0.12925876
1525670340.0,9342.36,9348.54,9326.79,9331.76,32.19315022
1701595320.0,39423.0,39426.0,39419.0,39425.0,0.15107171
1637107140.0,60117.31,60127.88,59952.0,59965.27,15.55999228
1638446400.0,56722.96,56729.09,56671.86,56671.86,1.56718103
1693101060.0,26027.0,26027.0,26027.0,26027.0,0.00327428
1619252640.0,50162.68,50226.4,50156.62,50197.09,6.93396719
1693850640.0,25884.0,25885.0,25882.0,25883.0,0.45763678
1415858340.0,424.62,425.35,424.62,424.98,35.0902751
1671163740.0,17368.0,17368.0,17361.0,17366.0,0.29447384
1683688320.0,27629.0,27629.0,27627.0,27627.0,0.12917835
1419872160.0,315.49,315.49,315.49,315.49,0.18
1404092280.0,595.0,595.0,595.0,595.0,0.5
1605165900.0,15661.26,15662.18,15650.61,15653.09,2.82681997
1409826420.0,476.19,476.19,476.19,476.19,0.0
1678984080.0,24933.0,24966.0,24926.0,24966.0,14.03186137
1606774200.0,19165.17,19237.37,19162.92,19230.08,21.98225911
1424383560.0,239.48,239.48,239.48,239.48,0.94479706
1666994580.0,20602.0,20606.0,20602.0,20606.0,0.00601333
1485187560.0,919.81,919.81,919.81,919.81,0.0
1596315180.0,11661.73,11672.26,11661.73,11672.26,0.02803661
1490436420.0,904.96,904.96,904.96,904.96,0.0
1538007360.0,6485.91,6486.18,6485.91,6486.18,0.14089716
1711982820.0,69541.0,69573.0,69541.0,69571.0,0.02121119
1721475900.0,66672.0,66672.0,66652.0,66657.0,0.45868035
1514827140.0,13317.21,13317.21,13275.13,13280.0,1.63941715
1553744640.0,4029.47,4029.6,4029.08,4029.6,0.92740059
1448431500.0,319.67,319.67,318.82,318.82,0.26777299
1411092300.0,428.08,428.08,425.0,425.0,97.29
1578553680.0,8009.64,8009.64,8004.54,8004.54,0.02188875
1356544200.0,13.02,13.02,13.02,13.02,0.0
1443495180.0,238.27,238.27,238.27,238.27,0.0
1473688740.0,604.28,604.28,604.28,604.28,0.01326
1544309220.0,3363.27,3365.28,3363.19,3363.19,0.3350102
1371071400.0,109.91,109.97,109.91,109.97,1.0
1553985540.0,4076.38,4077.4,4076.38,4077.4,12.40173983
1536901800.0,6472.99,6474.13,6470.8,6470.8,0.61997962
1481837220.0,778.0,778.0,778.0,778.0,0.13051965
1474786620.0,600.95,600.95,600.95,600.95,0.0
1444581300.0,245.57,245.57,245.57,245.57,0.0
1511524980.0,8180.81,8184.2,8162.0,8170.98,5.81877395
1658130960.0,21279.0,21279.0,21279.0,21279.0,0.0
1343187420.0,8.6,8.6,8.6,8.6,0.0
1563509400.0,10612.01,10624.88,10607.51,10610.78,2.20925528
1371607980.0,104.27,104.95,102.85,104.27,44.70948565
1609995480.0,36948.24,36948.31,36822.9,36864.44,8.60363421
1713037740.0,67765.0,67765.0,67741.0,67747.0,0.00389483
1657689120.0,19436.45,19445.21,19428.55,19441.97,8.38015756
1363343280.0,47.14,47.14,47.14,47.14,0.0
1452246900.0,456.06,456.06,456.06,456.06,0.199
1556914200.0,5707.87,5714.34,5707.87,5712.64,2.89696454
1641091860.0,47313.12,47313.12,47301.78,47306.3,0.01106
1470448440.0,574.01,574.01,574.01,574.01,0.01968024
1524363420.0,8801.16,8813.56,8792.29,8813.56,0.21345041
1438894440.0,277.73,277.73,277.73,277.73,0.0
1738615860.0,101668.0,101821.0,101601.0,101662.0,7.53614463
1386300420.0,1032.98,1032.98,1026.01,1026.01,8.25845127
1386080160.0,1034.78,1034.78,1034.0,1034.0,0.62778979
